gameid,leagid,leagyear,teamid,oppteamid,pf,pa,cpf,cpa,win,loss,tie,ot,so,otl,rw,rotw,sow,sol,pts,confw,confl,conft,divw,divl,divt,isdog,isfav,ispick,dogout,dogcover,ispush,favcover,iscover,isdogmlcover,isfavmlcover,isover,isunder,isoupush,ishomew,ishomel,ishomet,isawayw,isawayl,isawayt,home_away,teamlocation,teamname,confid,confname,divid,divname,oppteamlocation,oppteamname,oppconfid,oppconfname,oppdivid,oppdivname,isconf,isdiv,weeknum,gamedate,spread,ou,dogml,favml,gametypeid,siteloc
1202418,1,2024,12,7,19,44,19,44,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,home,Dallas,Cowboys,6,National,5,East,New Orleans,Saints,6,National,8,South,1,0,2,2024-09-15 00:00:00,6.5,45.5,240.0,-300.0,1,1
1202419,1,2024,2,8,16,20,16,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,Detroit,Lions,6,National,4,North,Tampa Bay,Buccaneers,6,National,8,South,1,0,2,2024-09-15 00:00:00,7.0,51.5,260.0,-350.0,1,1
1202419,1,2024,8,2,20,16,20,16,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,away,Tampa Bay,Buccaneers,6,National,8,South,Detroit,Lions,6,National,4,North,1,0,2,2024-09-15 00:00:00,7.0,51.5,260.0,-350.0,1,1
1202420,1,2024,3,24,16,10,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,home,Green Bay,Packers,6,National,4,North,Indianapolis,Colts,7,American,8,South,0,0,2,2024-09-15 00:00:00,3.0,41.0,135.0,-160.0,1,1
1202420,1,2024,24,3,10,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,away,Indianapolis,Colts,7,American,8,South,Green Bay,Packers,6,National,4,North,0,0,2,2024-09-15 00:00:00,3.0,41.0,135.0,-160.0,1,1
1202421,1,2024,13,26,24,17,24,17,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,away,New York-A,Jets,7,American,5,East,Tennessee,Titans,7,American,8,South,1,0,2,2024-09-15 00:00:00,3.5,40.5,155.0,-190.0,1,1
1202421,1,2024,26,13,17,24,17,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,home,Tennessee,Titans,7,American,8,South,New York-A,Jets,7,American,5,East,1,0,2,2024-09-15 00:00:00,3.5,40.5,155.0,-190.0,1,1
1202422,1,2024,4,56,23,17,23,17,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,home,Minnesota,Vikings,6,National,4,North,San Francisco,49ers,6,National,14,West,1,0,2,2024-09-15 00:00:00,6.0,45.5,220.0,-275.0,1,1
1202422,1,2024,56,4,17,23,17,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,away,San Francisco,49ers,6,National,14,West,Minnesota,Vikings,6,National,4,North,1,0,2,2024-09-15 00:00:00,6.0,45.5,220.0,-275.0,1,1
1202423,1,2024,11,67,20,23,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,home,New England,Patriots,7,American,5,East,Seattle,Seahawks,6,National,14,West,0,0,2,2024-09-15 00:00:00,3.5,38.0,150.0,-185.0,1,1
1202423,1,2024,67,11,23,20,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,away,Seattle,Seahawks,6,National,14,West,New England,Patriots,7,American,5,East,0,0,2,2024-09-15 00:00:00,3.5,38.0,150.0,-185.0,1,1
1202424,1,2024,23,34,18,21,18,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,away,New York-N,Giants,6,National,5,East,Washington,Commanders,6,National,5,East,1,1,2,2024-09-15 00:00:00,1.5,44.0,105.0,-125.0,1,1
1202424,1,2024,34,23,21,18,21,18,1,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,home,Washington,Commanders,6,National,5,East,New York-N,Giants,6,National,5,East,1,1,2,2024-09-15 00:00:00,1.5,44.0,105.0,-125.0,1,1
1202425,1,2024,6,17,3,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,Carolina,Panthers,6,National,8,South,Los Angeles-A,Chargers,7,American,14,West,0,0,2,2024-09-15 00:00:00,6.5,39.0,220.0,-275.0,1,1
1202425,1,2024,17,6,26,3,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,away,Los Angeles-A,Chargers,7,American,14,West,Carolina,Panthers,6,National,8,South,0,0,2,2024-09-15 00:00:00,6.5,39.0,220.0,-275.0,1,1
1202426,1,2024,20,25,18,13,18,13,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,away,Cleveland,Browns,7,American,4,North,Jacksonville,Jaguars,7,American,8,South,1,0,2,2024-09-15 00:00:00,3.0,41.5,145.0,-175.0,1,1
1202426,1,2024,25,20,13,18,13,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,Jacksonville,Jaguars,7,American,8,South,Cleveland,Browns,7,American,4,North,1,0,2,2024-09-15 00:00:00,3.0,41.5,145.0,-175.0,1,1
1202427,1,2024,16,18,26,23,26,23,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,away,Las Vegas,Raiders,7,American,14,West,Baltimore,Ravens,7,American,4,North,1,0,2,2024-09-15 00:00:00,9.5,41.5,360.0,-500.0,1,1
1202427,1,2024,18,16,23,26,23,26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,home,Baltimore,Ravens,7,American,4,North,Las Vegas,Raiders,7,American,14,West,1,0,2,2024-09-15 00:00:00,9.5,41.5,360.0,-500.0,1,1
1202428,1,2024,45,76,41,10,41,10,1,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,home,Arizona,Cardinals,6,National,14,West,Los Angeles-N,Rams,6,National,14,West,1,1,2,2024-09-15 00:00:00,1.5,49.0,105.0,-125.0,1,1
1202428,1,2024,76,45,10,41,10,41,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,away,Los Angeles-N,Rams,6,National,14,West,Arizona,Cardinals,6,National,14,West,1,1,2,2024-09-15 00:00:00,1.5,49.0,105.0,-125.0,1,1
1202429,1,2024,14,21,6,13,6,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,Denver,Broncos,7,American,14,West,Pittsburgh,Steelers,7,American,4,North,1,0,2,2024-09-15 00:00:00,2.5,36.5,120.0,-140.0,1,1
1202429,1,2024,21,14,13,6,13,6,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,away,Pittsburgh,Steelers,7,American,4,North,Denver,Broncos,7,American,14,West,1,0,2,2024-09-15 00:00:00,2.5,36.5,120.0,-140.0,1,1
1202430,1,2024,15,19,26,25,26,25,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,home,Kansas City,Chiefs,7,American,14,West,Cincinnati,Bengals,7,American,4,North,1,0,2,2024-09-15 00:00:00,5.5,47.5,200.0,-250.0,1,1
1202430,1,2024,19,15,25,26,25,26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,away,Cincinnati,Bengals,7,American,4,North,Kansas City,Chiefs,7,American,14,West,1,0,2,2024-09-15 00:00:00,5.5,47.5,200.0,-250.0,1,1
1202431,1,2024,22,77,19,13,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,home,Houston,Texans,7,American,8,South,Chicago,Bears,6,National,4,North,0,0,2,2024-09-15 00:00:00,6.0,45.5,200.0,-250.0,1,1
1202431,1,2024,77,22,13,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,away,Chicago,Bears,6,National,4,North,Houston,Texans,7,American,8,South,0,0,2,2024-09-15 00:00:00,6.0,45.5,200.0,-250.0,1,1
1202432,1,2024,1,5,21,22,21,22,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,Philadelphia,Eagles,6,National,5,East,Atlanta,Falcons,6,National,8,South,1,0,2,2024-09-16 00:00:00,6.5,47.0,240.0,-300.0,1,1
1202432,1,2024,5,1,22,21,22,21,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,away,Atlanta,Falcons,6,National,8,South,Philadelphia,Eagles,6,National,5,East,1,0,2,2024-09-16 00:00:00,6.5,47.0,240.0,-300.0,1,1
1202433,1,2024,11,13,3,24,3,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,away,New England,Patriots,7,American,5,East,New York-A,Jets,7,American,5,East,1,1,3,2024-09-19 00:00:00,6.5,38.5,220.0,-275.0,1,1
1202433,1,2024,13,11,24,3,24,3,1,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,home,New York-A,Jets,7,American,5,East,New England,Patriots,7,American,5,East,1,1,3,2024-09-19 00:00:00,6.5,38.5,220.0,-275.0,1,1
1202434,1,2024,20,23,15,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,Cleveland,Browns,7,American,4,North,New York-N,Giants,6,National,5,East,0,0,3,2024-09-22 00:00:00,6.5,38.5,225.0,-275.0,1,1
1202434,1,2024,23,20,21,15,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,away,New York-N,Giants,6,National,5,East,Cleveland,Browns,7,American,4,North,0,0,3,2024-09-22 00:00:00,6.5,38.5,225.0,-275.0,1,1
1202435,1,2024,3,26,30,14,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,away,Green Bay,Packers,6,National,4,North,Tennessee,Titans,7,American,8,South,0,0,3,2024-09-22 00:00:00,3.0,36.5,130.0,-155.0,1,1
1202435,1,2024,26,3,14,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,home,Tennessee,Titans,7,American,8,South,Green Bay,Packers,6,National,4,North,0,0,3,2024-09-22 00:00:00,3.0,36.5,130.0,-155.0,1,1
1202436,1,2024,24,77,21,16,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,home,Indianapolis,Colts,7,American,8,South,Chicago,Bears,6,National,4,North,0,0,3,2024-09-22 00:00:00,1.0,43.5,100.0,-120.0,1,1
1202436,1,2024,77,24,16,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,away,Chicago,Bears,6,National,4,North,Indianapolis,Colts,7,American,8,South,0,0,3,2024-09-22 00:00:00,1.0,43.5,100.0,-120.0,1,1
1202437,1,2024,4,22,34,7,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,home,Minnesota,Vikings,6,National,4,North,Houston,Texans,7,American,8,South,0,0,3,2024-09-22 00:00:00,2.5,46.0,120.0,-145.0,1,1
1202437,1,2024,22,4,7,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,away,Houston,Texans,7,American,8,South,Minnesota,Vikings,6,National,4,North,0,0,3,2024-09-22 00:00:00,2.5,46.0,120.0,-145.0,1,1
1202438,1,2024,1,7,15,12,15,12,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,away,Philadelphia,Eagles,6,National,5,East,New Orleans,Saints,6,National,8,South,1,0,3,2024-09-22 00:00:00,3.0,49.5,130.0,-155.0,1,1
1202438,1,2024,7,1,12,15,12,15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,home,New Orleans,Saints,6,National,8,South,Philadelphia,Eagles,6,National,5,East,1,0,3,2024-09-22 00:00:00,3.0,49.5,130.0,-155.0,1,1
1202439,1,2024,17,21,10,20,10,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,away,Los Angeles-A,Chargers,7,American,14,West,Pittsburgh,Steelers,7,American,4,North,1,0,3,2024-09-22 00:00:00,1.5,35.5,105.0,-125.0,1,1
1202439,1,2024,21,17,20,10,20,10,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,home,Pittsburgh,Steelers,7,American,4,North,Los Angeles-A,Chargers,7,American,14,West,1,0,3,2024-09-22 00:00:00,1.5,35.5,105.0,-125.0,1,1
